,Shot_num,pi_res_bits,half_pi_res_bits,quarter_pi_res_bits,z_bit_basis,x_bit_basis,Sdg_gate_applied,H_gate_applied,Rotation_int,Measure_basis,Outcome
0,1,0,1,1,0,1,0,1,3,X,0
1,2,0,1,1,1,1,1,1,3,Y,1
2,3,1,1,0,1,1,1,1,6,Y,0
3,4,0,1,0,0,1,0,1,2,X,1
4,5,1,0,1,0,0,0,0,5,Z,1
5,6,0,0,0,1,0,0,0,0,Z,0
6,7,1,0,1,1,1,1,1,5,Y,0
7,8,0,0,0,1,1,1,1,0,Y,1
8,9,0,0,1,1,1,1,1,1,Y,1
9,10,0,0,0,0,1,0,1,0,X,1
10,11,0,0,0,0,1,0,1,0,X,0
11,12,1,1,1,1,1,1,1,7,Y,0
12,13,0,0,0,1,1,1,1,0,Y,1
13,14,0,1,1,1,0,0,0,3,Z,1
14,15,0,0,0,1,0,0,0,0,Z,0
15,16,1,1,1,0,1,0,1,7,X,1
16,17,1,1,1,0,1,0,1,7,X,1
17,18,1,1,0,1,1,1,1,6,Y,0
18,19,1,1,1,1,0,0,0,7,Z,0
19,20,1,1,1,0,0,0,0,7,Z,0
20,21,0,1,1,0,1,0,1,3,X,1
21,22,1,0,0,1,1,1,1,4,Y,0
22,23,1,0,1,1,0,0,0,5,Z,1
23,24,1,0,0,1,0,0,0,4,Z,1
24,25,1,0,1,1,0,0,0,5,Z,1
25,26,0,0,0,0,1,0,1,0,X,1
26,27,0,0,1,1,1,1,1,1,Y,1
27,28,1,1,1,1,0,0,0,7,Z,0
28,29,0,0,1,1,1,1,1,1,Y,1
29,30,0,0,0,0,1,0,1,0,X,0
30,31,0,0,1,0,1,0,1,1,X,0
31,32,0,1,0,1,1,1,1,2,Y,1
32,33,1,1,0,0,0,0,0,6,Z,1
33,34,0,1,0,1,1,1,1,2,Y,1
34,35,1,0,0,0,1,0,1,4,X,0
35,36,1,1,1,0,0,0,0,7,Z,0
36,37,1,0,1,1,0,0,0,5,Z,1
37,38,0,0,1,1,0,0,0,1,Z,0
38,39,1,1,1,0,1,0,1,7,X,0
39,40,1,1,1,0,1,0,1,7,X,0
40,41,1,0,1,0,0,0,0,5,Z,1
41,42,1,1,1,1,1,1,1,7,Y,0
42,43,1,0,1,1,0,0,0,5,Z,1
43,44,0,1,1,1,1,1,1,3,Y,1
44,45,1,1,1,1,0,0,0,7,Z,0
45,46,1,1,0,0,1,0,1,6,X,1
46,47,0,1,1,0,0,0,0,3,Z,0
47,48,0,0,1,1,0,0,0,1,Z,0
48,49,1,1,1,0,1,0,1,7,X,1
49,50,1,0,0,1,1,1,1,4,Y,1
50,51,0,1,1,0,0,0,0,3,Z,1
51,52,0,0,1,1,0,0,0,1,Z,0
52,53,1,0,1,0,0,0,0,5,Z,1
53,54,1,1,1,0,0,0,0,7,Z,0
54,55,1,0,0,1,1,1,1,4,Y,0
55,56,1,0,0,1,1,1,1,4,Y,1
56,57,0,0,0,0,1,0,1,0,X,0
57,58,1,0,0,0,1,0,1,4,X,1
58,59,0,1,1,0,0,0,0,3,Z,1
59,60,0,0,0,0,0,0,0,0,Z,0
60,61,0,1,1,1,1,1,1,3,Y,1
61,62,0,1,1,1,0,0,0,3,Z,1
62,63,1,1,0,0,1,0,1,6,X,1
63,64,0,1,1,1,0,0,0,3,Z,1
64,65,1,0,0,0,0,0,0,4,Z,1
65,66,1,1,1,0,1,0,1,7,X,1
66,67,1,0,1,0,0,0,0,5,Z,1
67,68,0,1,0,1,0,0,0,2,Z,0
68,69,0,0,0,1,0,0,0,0,Z,0
69,70,0,1,0,0,0,0,0,2,Z,0
70,71,1,1,0,1,0,0,0,6,Z,1
71,72,1,1,1,0,0,0,0,7,Z,0
72,73,1,0,0,1,0,0,0,4,Z,1
73,74,1,1,1,1,1,1,1,7,Y,0
74,75,0,0,1,1,1,1,1,1,Y,0
75,76,1,1,1,0,1,0,1,7,X,0
76,77,1,0,0,1,1,1,1,4,Y,0
77,78,0,1,0,1,0,0,0,2,Z,1
78,79,1,1,0,1,0,0,0,6,Z,1
79,80,1,1,1,1,0,0,0,7,Z,0
80,81,0,0,1,1,1,1,1,1,Y,1
81,82,0,0,1,1,1,1,1,1,Y,1
82,83,0,0,0,1,1,1,1,0,Y,0
83,84,0,1,0,1,1,1,1,2,Y,1
84,85,0,1,1,1,0,0,0,3,Z,1
85,86,0,0,0,1,1,1,1,0,Y,0
86,87,1,1,1,0,1,0,1,7,X,0
87,88,0,1,0,0,0,0,0,2,Z,0
88,89,1,1,1,0,0,0,0,7,Z,0
89,90,1,0,1,1,0,0,0,5,Z,1
90,91,1,1,0,1,1,1,1,6,Y,0
91,92,0,1,1,0,1,0,1,3,X,0
92,93,0,1,1,0,1,0,1,3,X,0
93,94,0,0,1,0,1,0,1,1,X,0
94,95,0,0,0,1,1,1,1,0,Y,0
95,96,1,0,0,0,0,0,0,4,Z,1
96,97,0,1,1,1,0,0,0,3,Z,1
97,98,0,0,1,0,1,0,1,1,X,1
98,99,0,0,1,1,0,0,0,1,Z,1
99,100,0,0,1,0,0,0,0,1,Z,1
